,0
426,negative
427,negative
428,positive
429,positive
430,negative
431,positive
432,negative
433,negative
434,negative
435,positive
436,negative
437,positive
438,negative
439,positive
440,positive
441,positive
442,negative
443,negative
444,negative
445,negative
446,negative
447,negative
448,positive
449,positive
450,positive
451,positive
452,positive
453,positive
454,negative
455,positive
456,positive
457,positive
458,positive
459,positive
460,positive
461,positive
462,positive
463,negative
464,positive
465,negative
466,positive
467,positive
468,positive
469,negative
470,positive
471,positive
472,positive
473,negative
474,positive
475,negative
476,positive
477,positive
478,positive
479,positive
480,negative
481,negative
482,negative
483,negative
484,positive
485,positive
486,positive
487,positive
488,positive
489,negative
490,positive
491,negative
492,negative
493,negative
494,positive
495,negative
496,negative
497,negative
498,positive
499,negative
500,negative
501,negative
502,negative
503,positive
504,positive
505,negative
506,positive
507,positive
508,negative
509,negative
510,positive
511,positive
512,negative
513,negative
514,negative
515,positive
516,positive
517,negative
518,negative
519,negative
520,negative
521,positive
522,negative
523,positive
524,negative
525,positive
526,negative
527,positive
528,negative
529,negative
530,positive
531,positive
532,positive
533,positive
534,positive
535,positive
536,positive
537,positive
538,positive
539,positive
540,negative
541,negative
542,positive
543,positive
544,negative
545,negative
546,negative
547,positive
548,positive
549,negative
550,positive
551,negative
552,negative
553,negative
554,negative
555,positive
556,positive
557,positive
558,positive
559,negative
560,negative
561,positive
562,positive
563,positive
564,negative
565,positive
566,negative
567,negative
568,positive
569,positive
570,positive
571,positive
572,negative
573,positive
574,negative
575,negative
576,negative
577,negative
578,negative
579,positive
580,positive
581,negative
582,negative
583,positive
584,negative
585,negative
586,positive
587,negative
588,positive
589,positive
590,negative
591,positive
592,negative
593,negative
594,negative
595,negative
596,positive
597,negative
598,positive
599,negative
600,negative
601,positive
602,positive
603,negative
604,positive
605,positive
606,negative
607,negative
608,negative
609,negative
610,negative
611,negative
612,positive
613,positive
614,positive
615,positive
616,positive
617,negative
618,negative
619,positive
620,positive
621,negative
622,positive
623,negative
624,negative
625,positive
626,positive
627,negative
628,negative
629,positive
630,positive
631,positive
632,negative
633,negative
634,negative
635,positive
636,negative
637,negative
638,positive
639,positive
640,negative
641,positive
642,negative
643,positive
644,negative
645,positive
646,positive
647,negative
648,negative
649,positive
650,negative
651,negative
652,negative
653,positive
654,positive
655,negative
656,positive
657,positive
658,positive
659,positive
660,positive
661,negative
662,positive
663,positive
664,positive
665,positive
666,negative
667,positive
668,positive
669,positive
670,negative
671,positive
672,positive
673,positive
674,negative
675,negative
676,negative
677,positive
678,negative
679,negative
680,positive
681,positive
682,positive
683,positive
684,negative
685,positive
686,positive
687,positive
688,positive
689,negative
690,positive
691,negative
692,positive
693,positive
694,negative
695,positive
696,positive
697,negative
698,positive
699,negative
700,positive
701,negative
702,positive
703,negative
704,positive
705,negative
706,negative
707,positive
708,negative
709,positive
710,positive
711,positive
712,negative
713,negative
714,negative
715,positive
716,negative
717,negative
718,negative
719,positive
720,positive
721,negative
722,negative
723,positive
724,positive
725,positive
726,negative
727,positive
728,positive
729,negative
730,negative
731,negative
732,positive
733,positive
734,positive
735,negative
736,positive
737,positive
738,negative
739,positive
740,negative
741,negative
742,positive
743,negative
744,negative
745,negative
746,negative
747,positive
748,negative
749,negative
750,positive
751,negative
752,positive
753,positive
754,positive
755,negative
756,negative
757,negative
758,negative
759,negative
760,negative
761,negative
762,positive
763,negative
764,positive
765,negative
766,negative
767,positive
768,positive
769,negative
770,negative
771,positive
772,negative
773,positive
774,negative
775,positive
776,negative
777,negative
778,negative
779,positive
780,negative
781,positive
782,negative
783,negative
784,negative
785,positive
786,negative
787,negative
788,positive
789,positive
790,negative
791,positive
792,negative
793,negative
794,negative
795,negative
796,positive
797,positive
798,positive
799,negative
800,positive
801,positive
802,positive
803,positive
804,negative
805,negative
806,negative
807,negative
808,positive
809,positive
810,positive
811,positive
812,positive
813,negative
814,positive
815,positive
816,negative
817,negative
818,positive
819,negative
820,negative
821,positive
822,negative
823,negative
824,positive
825,negative
826,negative
827,positive
828,negative
829,negative
830,positive
831,negative
832,negative
833,negative
834,negative
835,positive
836,negative
837,negative
838,positive
839,positive
840,negative
841,positive
842,positive
843,negative
844,negative
845,positive
846,positive
847,positive
848,negative
849,positive
850,negative
851,negative
852,positive
853,positive
854,negative
855,negative
856,negative
857,negative
858,positive
859,negative
860,positive
861,positive
862,positive
863,negative
864,positive
865,negative
866,positive
867,negative
868,positive
869,positive
870,positive
871,positive
872,positive
873,negative
874,positive
875,positive
876,negative
877,negative
878,positive
879,positive
880,positive
881,negative
882,positive
883,negative
884,negative
885,negative
886,positive
887,negative
888,positive
889,negative
890,negative
891,positive
892,negative
893,positive
894,positive
895,negative
896,negative
897,negative
898,positive
899,positive
900,negative
901,negative
902,positive
903,positive
904,positive
905,negative
906,negative
907,negative
908,negative
909,negative
910,negative
911,negative
912,negative
913,positive
914,positive
915,negative
916,negative
917,positive
918,negative
919,positive
920,positive
921,positive
922,negative
923,negative
924,positive
925,negative
926,positive
927,negative
928,negative
929,negative
930,negative
931,positive
932,negative
933,negative
934,positive
935,negative
936,negative
937,positive
938,negative
939,positive
940,negative
941,negative
942,positive
943,negative
944,negative
945,negative
946,negative
947,positive
948,negative
949,positive
950,negative
951,negative
952,positive
953,positive
954,positive
955,positive
956,positive
957,negative
958,positive
959,positive
960,positive
961,positive
962,negative
963,negative
964,negative
965,positive
966,positive
967,positive
968,positive
969,positive
970,positive
971,negative
972,positive
973,negative
974,negative
975,negative
976,negative
977,positive
978,negative
979,positive
980,positive
981,positive
982,negative
983,positive
984,negative
985,positive
986,negative
987,positive
988,negative
989,positive
990,negative
991,positive
992,negative
993,positive
994,positive
995,negative
996,negative
997,positive
998,positive
999,positive
1000,negative
1001,positive
1002,negative
1003,positive
1004,positive
1005,negative
1006,negative
1007,positive
1008,negative
1009,positive
1010,positive
1011,positive
1012,negative
1013,positive
1014,positive
1015,negative
1016,negative
1017,negative
1018,positive
1019,positive
1020,positive
1021,negative
1022,negative
1023,negative
1024,negative
1025,negative
1026,negative
1027,negative
1028,negative
1029,negative
1030,positive
1031,negative
1032,positive
1033,positive
1034,positive
1035,negative
1036,positive
1037,negative
1038,negative
1039,positive
1040,positive
1041,negative
1042,positive
1043,negative
1044,negative
1045,positive
1046,negative
1047,positive
1048,positive
1049,positive
1050,positive
1051,positive
1052,positive
1053,positive
1054,negative
1055,negative
1056,negative
1057,negative
1058,positive
1059,negative
1060,positive
1061,negative
1062,positive
1063,negative
1064,positive
1065,positive
1066,positive
1067,positive
1068,negative
1069,negative
1070,positive
1071,negative
1072,negative
1073,positive
1074,positive
1075,negative
1076,negative
1077,positive
1078,negative
1079,positive
1080,negative
1081,positive
1082,positive
1083,positive
1084,positive
1085,positive
1086,positive
1087,positive
1088,positive
1089,negative
1090,positive
1091,positive
1092,negative
1093,positive
1094,positive
1095,negative
1096,positive
1097,negative
1098,negative
1099,positive
1100,positive
1101,positive
1102,positive
1103,negative
1104,negative
1105,positive
1106,negative
1107,negative
1108,negative
1109,positive
1110,positive
1111,positive
1112,positive
1113,positive
1114,positive
1115,negative
1116,negative
1117,positive
1118,negative
1119,positive
1120,positive
1121,negative
1122,positive
1123,positive
1124,positive
1125,positive
1126,positive
1127,positive
1128,negative
1129,negative
1130,positive
1131,negative
1132,positive
1133,negative
1134,negative
1135,negative
1136,negative
1137,negative
1138,positive
1139,positive
1140,positive
1141,negative
1142,negative
1143,negative
1144,positive
1145,positive
1146,positive
1147,positive
1148,positive
1149,negative
1150,positive
1151,positive
1152,negative
1153,negative
1154,positive
1155,negative
1156,positive
1157,negative
1158,positive
1159,positive
1160,negative
1161,positive
1162,negative
1163,negative
1164,positive
1165,positive
1166,positive
1167,positive
1168,positive
1169,negative
1170,negative
1171,positive
1172,negative
1173,positive
1174,negative
1175,negative
1176,negative
1177,positive
1178,negative
1179,negative
1180,positive
1181,positive
1182,positive
1183,negative
1184,positive
1185,positive
1186,positive
1187,positive
1188,negative
1189,negative
1190,negative
1191,positive
1192,negative
1193,positive
1194,negative
1195,negative
1196,negative
1197,positive
1198,positive
1199,positive
1200,negative
1201,negative
1202,negative
1203,negative
1204,negative
1205,positive
1206,negative
1207,negative
1208,negative
1209,negative
1210,positive
1211,positive
1212,negative
1213,negative
1214,negative
1215,negative
1216,negative
1217,negative
1218,negative
1219,positive
1220,negative
1221,positive
1222,negative
1223,negative
1224,negative
1225,negative
1226,positive
1227,positive
1228,negative
1229,negative
1230,positive
1231,negative
1232,negative
1233,negative
1234,positive
1235,negative
1236,positive
1237,positive
1238,negative
1239,negative
1240,negative
1241,positive
1242,positive
1243,positive
1244,positive
1245,positive
1246,negative
1247,positive
1248,positive
1249,negative
1250,negative
1251,negative
1252,positive
1253,negative
1254,negative
1255,positive
1256,negative
1257,positive
1258,negative
1259,positive
1260,positive
1261,positive
1262,negative
1263,negative
1264,negative
1265,negative
1266,negative
1267,negative
1268,positive
1269,negative
1270,negative
1271,positive
1272,negative
1273,positive
1274,negative
1275,negative
1276,negative
1277,positive
1278,negative
1279,negative
1280,positive
1281,negative
1282,positive
1283,positive
1284,positive
1285,positive
1286,negative
1287,negative
1288,negative
1289,negative
1290,negative
1291,negative
1292,positive
1293,negative
1294,positive
1295,positive
1296,negative
1297,negative
1298,negative
1299,negative
1300,positive
1301,positive
1302,positive
1303,negative
1304,negative
1305,negative
1306,positive
1307,positive
1308,negative
1309,negative
1310,negative
1311,positive
1312,negative
1313,positive
1314,negative
1315,negative
1316,positive
1317,positive
1318,positive
1319,positive
1320,positive
1321,positive
1322,positive
1323,negative
1324,negative
1325,positive
1326,negative
1327,positive
1328,positive
1329,negative
1330,positive
1331,positive
1332,positive
1333,positive
1334,positive
1335,positive
1336,positive
1337,positive
1338,positive
1339,negative
1340,negative
1341,negative
1342,positive
1343,positive
1344,negative
1345,positive
1346,negative
1347,negative
1348,positive
1349,negative
1350,positive
1351,negative
1352,positive
1353,positive
1354,positive
1355,positive
1356,positive
1357,negative
1358,positive
1359,positive
1360,negative
1361,positive
1362,positive
1363,negative
1364,negative
1365,positive
1366,positive
1367,positive
1368,positive
1369,negative
1370,negative
1371,negative
1372,negative
1373,negative
1374,positive
1375,positive
1376,negative
1377,positive
1378,positive
1379,negative
1380,negative
1381,negative
1382,negative
1383,positive
1384,positive
1385,positive
1386,negative
1387,positive
1388,positive
1389,positive
1390,negative
1391,negative
1392,negative
1393,negative
1394,positive
1395,negative
1396,negative
1397,positive
1398,positive
1399,positive
1400,negative
1401,positive
1402,positive
1403,negative
1404,negative
1405,negative
1406,negative
1407,positive
1408,negative
1409,positive
1410,negative
1411,negative
1412,positive
1413,negative
1414,positive
1415,positive
1416,negative
1417,positive
1418,negative
1419,positive
1420,positive
1421,positive
1422,positive
1423,positive
1424,negative
1425,positive
1426,negative
1427,positive
1428,positive
1429,positive
1430,negative
1431,negative
1432,positive
1433,positive
1434,positive
1435,positive
1436,negative
1437,positive
1438,positive
1439,positive
1440,negative
1441,negative
1442,negative
1443,positive
1444,positive
1445,negative
1446,positive
1447,positive
1448,positive
1449,negative
1450,negative
1451,negative
1452,positive
1453,negative
1454,negative
1455,negative
1456,negative
1457,negative
1458,negative
1459,positive
1460,negative
1461,negative
1462,positive
1463,negative
1464,positive
1465,negative
1466,positive
1467,negative
1468,positive
1469,positive
1470,positive
1471,negative
1472,positive
1473,positive
1474,positive
1475,negative
1476,positive
1477,positive
1478,positive
1479,negative
1480,negative
1481,positive
1482,negative
1483,negative
1484,negative
1485,negative
1486,positive
1487,negative
1488,positive
1489,negative
1490,positive
1491,negative
1492,negative
1493,positive
1494,positive
1495,positive
1496,negative
1497,negative
1498,positive
1499,negative
1500,negative
1501,positive
1502,negative
1503,negative
1504,negative
1505,positive
1506,negative
1507,negative
1508,negative
1509,positive
1510,negative
1511,positive
1512,negative
1513,negative
1514,positive
1515,negative
1516,positive
1517,positive
1518,positive
1519,negative
1520,positive
1521,positive
1522,negative
1523,negative
1524,negative
1525,positive
1526,positive
1527,positive
1528,negative
1529,negative
1530,negative
1531,positive
1532,positive
1533,negative
1534,positive
1535,positive
1536,negative
1537,negative
1538,positive
1539,negative
1540,negative
1541,negative
1542,negative
1543,positive
1544,positive
1545,negative
1546,positive
1547,positive
1548,negative
1549,positive
1550,positive
1551,negative
1552,positive
1553,negative
1554,negative
1555,positive
1556,positive
1557,negative
1558,positive
1559,positive
1560,positive
1561,positive
1562,positive
1563,positive
1564,positive
1565,negative
1566,negative
1567,negative
1568,positive
1569,negative
1570,positive
1571,positive
1572,positive
1573,negative
1574,negative
1575,negative
1576,negative
1577,positive
1578,positive
1579,positive
1580,negative
1581,negative
1582,positive
1583,positive
1584,negative
1585,negative
1586,positive
1587,negative
1588,negative
1589,positive
1590,positive
1591,negative
1592,positive
1593,negative
1594,negative
1595,negative
1596,positive
1597,positive
1598,positive
1599,positive
1600,positive
1601,negative
1602,positive
1603,negative
1604,positive
1605,negative
1606,negative
1607,negative
1608,negative
1609,negative
1610,positive
1611,negative
1612,positive
1613,negative
1614,negative
1615,negative
1616,positive
1617,negative
1618,negative
1619,negative
1620,negative
1621,negative
1622,positive
1623,positive
1624,negative
1625,negative
1626,positive
1627,negative
1628,negative
1629,positive
1630,negative
1631,positive
1632,negative
1633,positive
1634,negative
1635,positive
1636,positive
1637,negative
1638,positive
1639,positive
1640,negative
1641,positive
1642,positive
1643,positive
1644,positive
1645,positive
1646,positive
1647,negative
1648,negative
1649,negative
1650,positive
1651,negative
1652,positive
1653,negative
1654,positive
1655,positive
1656,positive
1657,negative
1658,negative
1659,positive
1660,positive
1661,negative
1662,positive
1663,positive
1664,positive
1665,negative
1666,negative
1667,negative
1668,negative
1669,negative
1670,positive
1671,negative
1672,negative
1673,negative
1674,negative
1675,positive
1676,positive
1677,negative
1678,negative
1679,negative
1680,positive
1681,negative
1682,negative
1683,negative
1684,negative
1685,positive
1686,negative
1687,negative
1688,negative
1689,negative
1690,negative
1691,positive
1692,negative
1693,negative
1694,positive
1695,positive
1696,negative
1697,positive
1698,negative
1699,negative
1700,positive
1701,positive
1702,negative
1703,negative
1704,positive
1705,positive
1706,negative
1707,negative
1708,positive
1709,positive
1710,negative
1711,negative
1712,positive
1713,positive
1714,negative
1715,negative
1716,positive
1717,negative
1718,negative
1719,negative
1720,positive
1721,negative
1722,positive
1723,positive
1724,negative
1725,negative
1726,negative
1727,positive
1728,positive
1729,positive
1730,negative
1731,negative
1732,negative
1733,positive
1734,positive
1735,positive
1736,negative
1737,negative
1738,positive
1739,negative
1740,positive
1741,positive
1742,negative
1743,positive
1744,positive
1745,negative
1746,positive
1747,negative
1748,positive
1749,positive
1750,positive
1751,negative
1752,negative
1753,negative
1754,negative
1755,negative
1756,negative
1757,negative
1758,negative
1759,positive
1760,negative
1761,positive
1762,negative
1763,negative
1764,negative
1765,negative
1766,negative
1767,negative
1768,negative
1769,negative
1770,positive
1771,positive
1772,positive
1773,negative
1774,negative
1775,positive
1776,positive
1777,negative
1778,positive
1779,negative
1780,positive
1781,positive
1782,negative
1783,negative
1784,positive
1785,positive
1786,negative
1787,positive
1788,positive
1789,positive
1790,negative
1791,negative
1792,positive
1793,positive
1794,negative
1795,negative
1796,positive
1797,negative
1798,negative
1799,positive
1800,positive
1801,negative
1802,positive
1803,positive
1804,positive
1805,negative
1806,negative
1807,positive
1808,negative
1809,positive
1810,negative
1811,positive
1812,positive
1813,negative
1814,positive
1815,negative
1816,negative
1817,positive
1818,negative
1819,positive
1820,negative
1821,positive
1822,positive
1823,positive
1824,positive
1825,positive
1826,negative
1827,positive
1828,negative
1829,negative
1830,positive
1831,negative
1832,positive
1833,positive
1834,positive
1835,positive
1836,positive
1837,negative
1838,positive
1839,positive
1840,positive
1841,positive
1842,negative
1843,positive
1844,positive
1845,negative
1846,positive
1847,positive
1848,negative
1849,positive
1850,positive
1851,positive
1852,positive
1853,positive
1854,positive
1855,negative
1856,positive
1857,negative
1858,negative
1859,negative
1860,positive
1861,negative
1862,positive
1863,positive
1864,positive
1865,positive
1866,negative
1867,positive
1868,negative
1869,positive
1870,positive
1871,positive
1872,positive
1873,positive
1874,positive
1875,negative
1876,positive
1877,negative
1878,negative
1879,positive
1880,positive
1881,positive
1882,negative
1883,negative
1884,positive
1885,positive
1886,negative
1887,positive
1888,positive
1889,negative
1890,negative
1891,positive
1892,positive
1893,positive
1894,positive
1895,positive
1896,negative
1897,positive
1898,negative
1899,negative
1900,negative
1901,negative
1902,negative
1903,positive
1904,negative
1905,positive
1906,negative
1907,positive
1908,negative
1909,negative
1910,negative
1911,positive
1912,positive
1913,positive
1914,positive
1915,negative
1916,negative
1917,negative
1918,negative
1919,negative
1920,negative
1921,positive
1922,negative
1923,negative
1924,negative
1925,positive
1926,positive
1927,negative
1928,negative
1929,positive
1930,positive
1931,positive
1932,positive
1933,negative
1934,positive
1935,positive
1936,negative
1937,positive
1938,positive
1939,negative
1940,negative
1941,positive
1942,positive
1943,positive
1944,positive
1945,negative
1946,positive
1947,positive
1948,positive
1949,positive
1950,negative
1951,positive
1952,negative
1953,positive
1954,negative
1955,negative
1956,negative
1957,positive
1958,negative
1959,negative
1960,negative
1961,negative
1962,positive
1963,positive
1964,positive
1965,positive
1966,negative
1967,positive
1968,positive
1969,positive
1970,negative
1971,positive
1972,negative
1973,negative
1974,negative
1975,negative
1976,negative
1977,negative
1978,negative
1979,positive
1980,negative
1981,negative
1982,negative
1983,positive
1984,negative
1985,positive
1986,negative
1987,positive
1988,positive
1989,positive
1990,positive
1991,positive
1992,positive
1993,positive
1994,negative
1995,positive
1996,positive
1997,negative
1998,negative
1999,positive
2000,positive
2001,positive
2002,positive
2003,negative
2004,positive
2005,positive
2006,negative
2007,positive
2008,positive
2009,positive
2010,negative
2011,positive
2012,positive
2013,negative
2014,negative
2015,positive
2016,negative
2017,positive
2018,positive
2019,negative
2020,negative
2021,negative
2022,negative
2023,negative
2024,negative
2025,positive
2026,negative
2027,negative
2028,negative
2029,negative
2030,positive
2031,negative
2032,negative
2033,negative
2034,positive
2035,positive
2036,negative
2037,positive
2038,positive
2039,negative
2040,negative
2041,negative
2042,positive
2043,negative
2044,negative
2045,positive
2046,positive
2047,negative
2048,negative
2049,positive
2050,negative
2051,positive
2052,positive
2053,positive
2054,negative
2055,negative
2056,negative
2057,positive
2058,positive
2059,negative
2060,positive
2061,negative
2062,positive
2063,positive
2064,negative
2065,positive
2066,positive
2067,negative
2068,positive
2069,positive
2070,negative
2071,positive
2072,negative
2073,negative
2074,positive
2075,negative
2076,negative
2077,positive
2078,negative
2079,positive
2080,negative
2081,positive
2082,negative
2083,positive
2084,positive
2085,negative
2086,negative
2087,negative
2088,negative
2089,negative
2090,positive
2091,positive
2092,positive
2093,positive
2094,negative
2095,negative
2096,negative
2097,negative
2098,positive
2099,negative
2100,positive
2101,positive
2102,positive
2103,negative
2104,negative
2105,positive
2106,negative
2107,positive
2108,positive
2109,negative
2110,negative
2111,negative
2112,negative
2113,positive
2114,positive
2115,positive
2116,negative
2117,negative
2118,negative
2119,positive
2120,negative
2121,positive
2122,negative
2123,positive
2124,positive
2125,positive
2126,positive
2127,positive
2128,positive
2129,positive
2130,negative
2131,negative
2132,positive
2133,positive
2134,positive
2135,negative
2136,positive
2137,negative
2138,negative
2139,negative
2140,positive
2141,negative
2142,negative
2143,negative
2144,positive
2145,positive
2146,negative
2147,negative
2148,negative
2149,negative
2150,negative
2151,negative
2152,negative
2153,positive
2154,positive
2155,negative
2156,positive
2157,positive
2158,negative
2159,positive
2160,negative
2161,positive
2162,negative
2163,positive
2164,negative
2165,positive
2166,positive
2167,negative
2168,positive
2169,negative
2170,positive
2171,negative
2172,negative
2173,negative
2174,negative
2175,negative
2176,positive
2177,negative
2178,positive
2179,negative
2180,positive
2181,negative
2182,positive
2183,negative
2184,negative
2185,negative
2186,positive
2187,negative
2188,positive
2189,positive
2190,negative
2191,negative
2192,negative
2193,positive
2194,positive
2195,positive
2196,positive
2197,positive
2198,negative
2199,positive
2200,positive
2201,positive
2202,positive
2203,negative
2204,negative
2205,positive
2206,negative
2207,negative
2208,negative
2209,positive
2210,positive
2211,negative
2212,positive
2213,negative
2214,positive
2215,positive
2216,positive
2217,negative
2218,positive
2219,positive
2220,positive
2221,positive
2222,negative
2223,positive
2224,negative
2225,positive
2226,positive
2227,negative
2228,negative
2229,positive
2230,positive
2231,positive
2232,negative
2233,negative
2234,negative
2235,negative
2236,positive
2237,positive
2238,negative
2239,positive
2240,positive
2241,negative
2242,negative
2243,positive
2244,negative
2245,positive
2246,positive
2247,positive
2248,positive
2249,negative
2250,negative
2251,positive
2252,negative
2253,positive
2254,negative
2255,negative
2256,negative
2257,positive
2258,positive
2259,positive
2260,positive
2261,positive
2262,positive
2263,negative
2264,negative
2265,positive
2266,negative
2267,positive
2268,positive
2269,negative
2270,positive
2271,positive
2272,positive
2273,positive
2274,negative
2275,negative
2276,negative
2277,positive
2278,negative
2279,positive
2280,negative
2281,negative
2282,negative
2283,negative
2284,positive
2285,positive
2286,positive
2287,negative
2288,positive
2289,negative
2290,negative
2291,positive
2292,positive
2293,positive
2294,positive
2295,negative
2296,positive
2297,negative
2298,negative
2299,negative
2300,negative
2301,positive
2302,negative
2303,negative
2304,positive
2305,positive
2306,positive
2307,negative
2308,negative
2309,negative
2310,negative
2311,negative
2312,negative
2313,negative
2314,positive
2315,positive
2316,positive
2317,positive
2318,negative
2319,positive
2320,negative
2321,positive
2322,positive
2323,negative
2324,negative
2325,negative
2326,negative
2327,positive
2328,positive
2329,positive
2330,negative
2331,negative
2332,positive
2333,negative
2334,positive
2335,positive
2336,positive
2337,positive
2338,negative
2339,negative
2340,positive
2341,positive
2342,negative
2343,positive
2344,negative
2345,negative
2346,positive
2347,positive
2348,negative
2349,positive
2350,negative
2351,positive
2352,positive
2353,positive
2354,positive
2355,positive
2356,positive
2357,negative
2358,positive
2359,positive
2360,negative
2361,negative
2362,negative
2363,positive
2364,negative
2365,positive
2366,positive
2367,negative
2368,negative
2369,positive
2370,negative
2371,negative
2372,negative
2373,positive
2374,positive
2375,negative
2376,negative
2377,positive
2378,positive
2379,positive
2380,negative
2381,negative
2382,negative
2383,negative
2384,negative
2385,negative
2386,negative
2387,negative
2388,positive
2389,positive
2390,negative
2391,positive
2392,positive
2393,negative
2394,positive
2395,negative
2396,positive
2397,negative
2398,positive
2399,negative
2400,positive
2401,positive
2402,negative
2403,negative
2404,positive
2405,positive
2406,positive
2407,negative
2408,positive
2409,negative
2410,positive
2411,positive
2412,negative
2413,positive
2414,positive
2415,negative
2416,negative
2417,positive
2418,negative
2419,negative
2420,negative
2421,negative
2422,negative
2423,positive
2424,negative
2425,positive
2426,positive
2427,negative
2428,positive
2429,positive
2430,positive
2431,positive
2432,negative
2433,negative
2434,positive
2435,positive
2436,positive
2437,positive
2438,negative
2439,negative
2440,positive
2441,positive
2442,negative
2443,positive
2444,positive
2445,negative
2446,negative
2447,negative
2448,negative
2449,negative
2450,negative
2451,positive
2452,positive
2453,positive
2454,negative
2455,negative
2456,negative
2457,positive
2458,negative
2459,negative
2460,positive
2461,positive
2462,positive
2463,positive
2464,positive
2465,negative
2466,negative
2467,negative
2468,negative
2469,positive
2470,negative
2471,positive
2472,negative
2473,negative
2474,positive
2475,negative
2476,negative
2477,negative
2478,positive
2479,positive
2480,negative
2481,positive
2482,negative
2483,positive
2484,negative
2485,positive
2486,negative
2487,positive
2488,negative
2489,negative
2490,negative
2491,positive
2492,positive
2493,negative
2494,negative
2495,negative
2496,positive
2497,negative
2498,positive
